图号,名称,类型,参数JSON
MKH-001,地脚安装法兰,flange,"{""diameter"": 360, ""thickness"": 30, ""center_hole"": 120, ""holes"": [[133.9625322141366, 55.48909769293802, 18], [55.489097692938024, 133.9625322141366, 18], [-55.48909769293801, 133.9625322141366, 18], [-133.9625322141366, 55.48909769293803, 18], [-133.9625322141366, -55.489097692938, 18], [-55.489097692937975, -133.9625322141366, 18], [55.48909769293805, -133.96253221413656, 18], [133.9625322141366, -55.48909769293799, 18]], ""hub"": [220, 120, 48]}"
MKH-002,重载回转立柱,shaft,"{""steps"": [[260, 360], [330, 42], [190, 410]]}"
MKH-003,J1重载电机减速机简化件,box,"{""length"": 240, ""width"": 220, ""height"": 260, ""holes"": [[78.52976026345937, 32.52809175103263, 18], [32.52809175103263, 78.52976026345937, 18], [-32.528091751032626, 78.52976026345937, 18], [-78.52976026345937, 32.52809175103264, 18], [-78.52976026345938, -32.52809175103262, 18], [-32.528091751032605, -78.52976026345938, 18], [32.52809175103265, -78.52976026345937, 18], [78.52976026345938, -32.52809175103261, 18]], ""face_boss"": [175, 285], ""shaft"": [72, 330]}"
MKH-004,肩部模块侧板,plate,"{""length"": 360, ""width"": 310, ""thickness"": 28, ""holes"": [[0, 0, 125], [-135, -105, 18], [135, -105, 18], [-135, 105, 18], [135, 105, 18]], ""slots"": [[0, -115, 105, 32]], ""bosses"": [[""circle"", 0, 0, 190, 42]]}"
MKH-005,J2输出阶梯轴,shaft,"{""steps"": [[138, 48], [105, 260], [78, 305]]}"
MKH-006,上臂承载侧板,link,"{""length"": 660, ""width"": 150, ""thickness"": 22, ""end_x"": 285, ""bore"": 105, ""slot"": [330, 58], ""end_boss"": [138, 38], ""rib"": [360, 24, 34]}"
MKH-007,J3输出阶梯轴,shaft,"{""steps"": [[118, 42], [88, 225], [65, 270]]}"
MKH-008,前臂承载侧板,link,"{""length"": 490, ""width"": 128, ""thickness"": 20, ""end_x"": 205, ""bore"": 88, ""slot"": [235, 48], ""end_boss"": [116, 34], ""rib"": [270, 22, 31]}"
MKH-009,J4腕部轴,shaft,"{""steps"": [[92, 36], [68, 185], [50, 225]]}"
MKH-010,J2/J3重载驱动简化件,box,"{""length"": 210, ""width"": 190, ""height"": 220, ""holes"": [[66.51932634081264, 27.553207130286463, 16], [27.553207130286467, 66.51932634081264, 16], [-27.55320713028646, 66.51932634081264, 16], [-66.51932634081264, 27.553207130286474, 16], [-66.51932634081265, -27.553207130286456, 16], [-27.553207130286445, -66.51932634081265, 16], [27.55320713028648, -66.51932634081264, 16], [66.51932634081265, -27.55320713028645, 16]], ""face_boss"": [145, 245], ""shaft"": [60, 285]}"
MKH-011,腕部模块连接法兰,flange,"{""diameter"": 230, ""thickness"": 30, ""center_hole"": 76, ""holes"": [[75.75812166592551, 31.380041453937363, 14], [31.380041453937366, 75.75812166592551, 14], [-31.38004145393736, 75.75812166592551, 14], [-75.75812166592551, 31.38004145393737, 14], [-75.75812166592551, -31.380041453937352, 14], [-31.380041453937338, -75.75812166592551, 14], [31.38004145393738, -75.7581216659255, 14], [75.75812166592551, -31.380041453937345, 14]], ""hub"": [130, 76, 50]}"
MKH-012,20kg搬运夹爪本体,box,"{""length"": 240, ""width"": 180, ""height"": 120, ""holes"": [[-85, -60, 14], [85, -60, 14], [-85, 60, 14], [85, 60, 14]], ""face_boss"": [115, 145]}"
MKH-013,重载夹爪手指,plate,"{""length"": 220, ""width"": 48, ""thickness"": 28, ""holes"": [[-78, 0, 15], [-42, 0, 15]], ""slots"": [[45, 0, 60, 15]], ""bosses"": [[""rect"", 80, 0, 42, 48, 42]]}"
MKH-014,夹紧气缸简化件,box,"{""length"": 190, ""width"": 130, ""height"": 95, ""holes"": [[-70, -45, 11], [70, -45, 11], [-70, 45, 11], [70, 45, 11]], ""shaft"": [36, 180]}"
MKH-015,线缆拖链安装板,plate,"{""length"": 280, ""width"": 85, ""thickness"": 12, ""holes"": [[-115, -28, 9], [115, -28, 9], [-115, 28, 9], [115, 28, 9]], ""slots"": [[0, 0, 150, 24]], ""bosses"": [[""rect"", 0, 0, 210, 16, 20]]}"
