item,component,qty,material_or_spec
1,foundation plate,1,Q235B
2,grouted base block,1,welded steel
3,J1 slew housing,1,QT500/steel fabrication
4,J1 slew bearing,1,cross roller/slewing bearing
5,shoulder tower,1,welded steel or cast iron
6,J2 joint module,1,servo + reducer + cross roller bearing
7,upper arm side plates,2,Q345B or 7075 aluminium option
8,upper arm ribs/covers,10,matching structure material
9,J3 joint module,1,servo + reducer + cross roller bearing
10,forearm side plates,2,Q345B or 7075 aluminium option
11,forearm ribs/covers,10,matching structure material
12,balance linkage,1 set,40Cr pins + steel links
13,gas spring/balancer,1,industrial rated
14,J4 wrist module,1,servo + planetary reducer
15,heavy parallel gripper,1,1.8 kN target
16,replaceable fingers,2,40Cr + serrated pads
17,robot cable chains,2,high-flex
18,central lubrication block,1,8-port
19,terminal box,1,IP54+
20,maintenance platform,1,steel
21,high-strength flange bolts,1 set,10.9/12.9 grade
