element,x_start_mm,x_end_mm,moment_start_nmm,moment_end_nmm,stress_start_mpa,stress_end_mpa
1,0.0,20.0,1551999.9999707416,1492307.6922799107,19.239669421124894,18.499682135701374
2,20.0,40.0,1492307.6922799107,1432615.3845890854,18.499682135701374,17.759694850277914
3,40.0,60.0,1432615.3845890872,1372923.0768982247,17.75969485027794,17.019707564854023
4,60.0,80.0,1372923.0768982247,1313230.76920731,17.019707564854023,16.27972027942946
5,80.0,100.0,1313230.7692073137,1253538.4615164474,16.279720279429508,15.539732994005547
6,100.0,120.0,1253538.46151644,1193846.153825529,15.539732994005453,14.799745708580936
7,120.0,140.0,1193846.1538255364,1134153.8461347744,14.799745708581028,14.059758423158359
8,140.0,160.0,1134153.8461347744,1074461.538444303,14.059758423158359,13.319771137739291
9,160.0,180.0,1074461.5384442955,1014769.2307536602,13.319771137739199,12.579783852318101
10,180.0,200.0,1014769.2307536155,955076.9230629504,12.579783852317547,11.839796566896078
11,200.0,220.0,955076.9230629653,895384.6153726131,11.839796566896263,11.099809281478674
12,220.0,240.0,895384.615372628,835692.307681948,11.099809281478858,10.359821996057205
13,240.0,260.0,835692.3076820672,775999.9999913871,10.359821996058683,9.61983471063703
14,260.0,280.0,775999.9999914318,716307.6923011541,9.619834710637583,8.879847425220918
15,280.0,300.0,716307.6923010945,656615.3846099228,8.879847425220179,8.13986013979243
16,300.0,320.0,656615.3846099973,596923.0769184381,8.139860139793354,7.399872854360802
17,320.0,340.0,596923.0769183189,537230.7692268938,7.399872854359324,6.659885568928435
18,340.0,360.0,537230.7692268193,477538.46153509617,6.659885568927511,5.919898283492928
19,360.0,380.0,477538.46153509617,417846.15384444594,5.919898283492928,5.179910998071644
20,380.0,400.0,417846.15384440124,358153.8461545408,5.179910998071089,4.4399237126595965
21,400.0,420.0,358153.84615430236,298461.5384617746,4.439923712656641,3.6999364272120814
22,420.0,440.0,298461.5384619683,238769.2307702303,3.699936427214483,2.959949141779714
23,440.0,460.0,238769.2307701409,179076.92307794094,2.9599491417786057,2.2199618563381107
24,460.0,480.0,179076.92307806015,119384.61538550258,2.2199618563395886,1.47997457089466
25,480.0,500.0,119384.61538521945,59692.30769227445,1.4799745708911503,0.7399872854414188
26,500.0,520.0,59692.30769225955,1.4901161193847656e-07,0.739987285441234,1.847251387667065e-12
