node,x_mm,deflection_mm,rotation_rad
1,0.0,0.0,0.0
2,20.0,-0.0003352693202586123,-3.330922467504525e-05
3,40.0,-0.001323660692969171,-6.531220524519465e-05
4,60.0,-0.0029390492360337576,-9.600894171044792e-05
5,80.0,-0.00515531006735444,-0.000125399434070804
6,100.0,-0.007946318304833272,-0.00015348368232626303
7,120.0,-0.011285949066372312,-0.00018026168647682474
8,140.0,-0.015148077469873624,-0.00020573344652249052
9,160.0,-0.019506578633239326,-0.00022989896246326512
10,180.0,-0.02433532767437163,-0.0002527582342991497
11,200.0,-0.029608199711172695,-0.0002743112620301414
12,220.0,-0.0352990698615447,-0.0002945580456562446
13,240.0,-0.04138181324338989,-0.0003134985851774592
14,260.0,-0.04783030497461047,-0.00033113288059378375
15,280.0,-0.05461842017310867,-0.0003474609319052211
16,300.0,-0.061720033956786685,-0.00036248273911176356
17,320.0,-0.06910902144354651,-0.00037619830221340014
18,340.0,-0.07675925775128993,-0.00038860762121012367
19,360.0,-0.0846446179979187,-0.00039971069610193353
20,380.0,-0.09273897730133458,-0.0004095075268888396
21,400.0,-0.10101621077943972,-0.0004179981135708613
22,420.0,-0.10945019355013628,-0.000425182456147974
23,440.0,-0.11801480073132589,-0.0004310605546201666
24,460.0,-0.12668390744091013,-0.0004356324089874365
25,480.0,-0.1354313887967905,-0.00043889801924977914
26,500.0,-0.14423111991686832,-0.0004408573854071777
27,520.0,-0.15305697591904474,-0.00044151050745964293
